fecha,viajes,media,mediana,desv_est
2024-04-09,792854,21.22086612065735,15,22.467629949926405
2024-04-10,825603,22.06904570970329,16,23.154961171824866
2024-04-11,802645,21.498459890183476,15,22.58508531487367
2024-04-12,790527,21.079595754893074,15,21.450127768813157
2024-04-13,310359,9.393147907145668,7,10.222519721862481
2024-04-14,152335,5.938291817721124,4,6.3219330521205315
2024-04-15,719574,19.621891361256544,13,21.385489988961858
2024-04-16,826579,22.300795899096183,16,23.46408490540171
2024-04-17,827729,22.304141629166555,16,23.557689987989903
2024-04-18,845838,22.68513651236389,16,23.789576119538197
2024-04-19,815666,21.813917415489943,16,22.05446395924096
2024-04-20,382283,11.337653478854024,8,12.589575028067827
2024-04-21,169072,6.4474697784387756,4,7.222177129104903
2024-04-22,747576,20.25073139018312,14,21.414198055870916
