weekday,hour,total_viajes,avg_viajes
mié\.,20,1134971,12.292015942123161
mié\.,21,751956,8.814187921980496
mié\.,22,402689,5.619987997711191
mié\.,23,53503,2.677157868401301
mié\.,45,1,1
jue\.,0,1,1
jue\.,3,2,1
jue\.,4,6,1
jue\.,5,212041,4.826353166112805
jue\.,6,1050446,12.89128060379211
jue\.,7,2585709,27.672695555389076
jue\.,8,3227252,32.90193399736968
jue\.,9,2535418,25.597354871277133
jue\.,10,1869870,18.63998405024174
jue\.,11,1852425,18.195815529689114
jue\.,12,2168604,21.164545596502187
jue\.,13,2280584,22.474343434343435
jue\.,14,2092824,20.726775739809057
jue\.,15,2356715,23.182323431044658
jue\.,16,2865489,27.87142426394063
jue\.,17,3390641,32.87224904504295
jue\.,18,2907978,28.585817080843032
jue\.,19,1651211,16.731798514495324
jue\.,20,1237947,13.05989028378521
jue\.,21,802956,9.161667218146343
jue\.,22,424708,5.708901255477592
jue\.,23,57972,2.823632555647557
vie\.,0,1,1
vie\.,4,6,1
vie\.,5,212316,4.8127847670860255
vie\.,6,1032134,12.590070748963162
vie\.,7,2489486,26.345718730487974
vie\.,8,2933903,29.35870032922058
vie\.,9,2365389,23.39375148350344
vie\.,10,1847413,17.943016705516705
vie\.,11,1893771,18.073783164726095
vie\.,12,2222696,21.147385947385946
vie\.,13,2340033,22.24365969581749
vie\.,14,2165497,20.70522149024257
vie\.,15,2443073,23.305093961652197
vie\.,16,2884942,27.314094734948544
vie\.,17,3163569,29.97791149436179
vie\.,18,2676982,25.721167981398388
vie\.,19,1744555,17.237152822377457
vie\.,20,1356292,13.934840903720294
vie\.,21,894386,9.771506609854693
vie\.,22,485535,6.190363872810261
vie\.,23,77910,3.349959152083244
sáb\.,0,78,4.875
sáb\.,1,41,2.9285714285714284
sáb\.,2,1,1
sáb\.,3,2,1
sáb\.,4,3,1
sáb\.,5,31187,2.926433330205499
sáb\.,6,311502,4.762299342608164
sáb\.,7,590589,7.6336034743495285
sáb\.,8,870462,10.098049906613612
sáb\.,9,1017530,11.341046131897771
sáb\.,10,1034875,11.270569913200685
sáb\.,11,1146203,12.244711990428168
sáb\.,12,1302085,13.769351973266781
sáb\.,13,1397204,14.794934242571847
sáb\.,14,1262128,13.501294366829978
sáb\.,15,1255032,13.358083296967633
sáb\.,16,1262753,13.359355493959079
sáb\.,17,1208649,12.75040351080776
sáb\.,18,1160788,12.51267125871789
sáb\.,19,1118037,12.291794014820027
sáb\.,20,961779,11.03970385674931
sáb\.,21,644143,7.8771125296549025
sáb\.,22,345005,5.079952882279319
sáb\.,23,119040,3.2188632307609106
sáb\.,30,23,3.2857142857142856
sáb\.,45,50,7.142857142857143
dom\.,0,1361,1.3435340572556762
dom\.,1,1,1
dom\.,2,2,2
dom\.,5,3,1
dom\.,6,3,1
dom\.,7,42156,3.171054611102753
dom\.,8,278504,4.014935055573976
dom\.,9,364293,4.854521467977932
dom\.,10,453809,5.676941167640326
dom\.,11,575198,6.859681343319181
dom\.,12,686760,7.926043902776816
dom\.,13,707971,8.104527502718792
dom\.,14,684589,7.937447824877099
dom\.,15,773076,8.813498261414809
dom\.,16,843028,9.40082073241447
dom\.,17,881130,9.724101398254113
dom\.,18,889006,9.830222477774338
dom\.,19,838230,9.410701455002695
dom\.,20,655144,7.726483630531182
dom\.,21,431331,5.62963011302827
dom\.,22,107504,3.6049763589416854
dom\.,23,6,1
